Hourly Obs

Month/Year: 02/2010
Station Location: CONCORD MUNICIPAL AIRPORT (14745)
Lat: 43.195
Lon: -71.501
Elev: 346 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14745,20100226,1201,11,SCT004 SCT049, ,10.00, , , ,37, ,3.0, ,37, ,2.7, ,37, ,3.0, ,100, ,11, ,100, ,22, ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100226,1251,11,FEW027 SCT035 SCT047, ,10.00, , , ,40, ,4.4, ,37, ,2.8, ,33, ,0.6, , 76, ,16, ,110, ,25, ,29.03, ,0, ,009, ,29.39, ,AA, , , ,29.39, 
14745,20100226,1351,11,FEW030 BKN038 BKN055, ,10.00, , , ,40, ,4.4, ,36, ,2.1, ,30, ,-1.1, , 68, ,20, ,120, ,30, ,29.03, , , , , ,29.41, ,AA, , , ,29.40, 
14745,20100226,1433,11,SCT022 BKN028 OVC046, , 4.00, ,-RA BR, ,37, ,3.0, ,36, ,2.0, ,34, ,1.0, , 89, , 9, ,090, ,22, ,29.05, , , , , ,M, ,SP, , , ,29.41, 
14745,20100226,1448,11,SCT024 BKN039, ,10.00, ,-RA, ,37, ,3.0, ,37, ,2.5, ,36, ,2.0, , 96, , 9, ,080, , , ,29.05, , , , , ,M, ,SP, , , ,29.41, 
14745,20100226,1451,11,FEW022 SCT029 BKN039, ,10.00, ,-RA, ,38, ,3.3, ,37, ,2.6, ,35, ,1.7, , 89, , 8, ,100, , , ,29.05, , , , , ,29.42, ,AA, ,  T, ,29.41, 
14745,20100226,1551,11,FEW019 BKN026 OVC034, , 8.00, ,-RA, ,38, ,3.3, ,37, ,2.6, ,35, ,1.7, , 89, , 9, ,060, ,20, ,29.05, ,1, ,005, ,29.42, ,AA, ,0.01, ,29.42, 
14745,20100226,1649,11,SCT027 BKN042 OVC060, , 8.00, ,-RA, ,37, ,3.0, ,37, ,2.5, ,36, ,2.0, , 96, ,10, ,060, , , ,29.05, , , , , ,M, ,SP, , , ,29.42, 
14745,20100226,1651,11,SCT027 BKN042 OVC060, , 9.00, ,-RA, ,38, ,3.3, ,37, ,2.6, ,35, ,1.7, , 89, , 9, ,070, , , ,29.05, , , , , ,29.42, ,AA, ,  T, ,29.42, 
14745,20100226,1751,11,BKN055, ,10.00, , , ,39, ,3.9, ,36, ,2.4, ,33, ,0.6, , 79, , 8, ,060, , , ,29.05, , , , , ,29.43, ,AA, , , ,29.42, 
14745,20100226,1851,11,BKN050, ,10.00, , , ,38, ,3.3, ,36, ,2.1, ,33, ,0.6, , 82, , 9, ,060, , , ,29.05, ,0, ,000, ,29.42, ,AA, , , ,29.42, 
14745,20100226,1951,11,OVC050, ,10.00, , , ,37, ,2.8, ,35, ,1.8, ,33, ,0.6, , 86, , 7, ,060, , , ,29.05, , , , , ,29.42, ,AA, , , ,29.41, 
14745,20100226,2051,11,OVC050, ,10.00, , , ,36, ,2.2, ,35, ,1.7, ,34, ,1.1, , 92, , 6, ,040, , , ,29.03, , , , , ,29.41, ,AA, , , ,29.40, 
14745,20100226,2138,11,FEW010 BKN014 OVC055, ,10.00, , , ,36, ,2.0, ,36, ,2.2, ,36, ,2.0, ,100, , 7, ,050, , , ,29.05, , , , , ,M, ,SP, , , ,29.41, 
14745,20100226,2143,11,SCT010 BKN016 OVC060, ,10.00, , , ,36, ,2.0, ,36, ,2.2, ,36, ,2.0, ,100, , 7, ,060, , , ,29.03, , , , , ,M, ,SP, , , ,29.40, 
14745,20100226,2151,11,SCT012 BKN019 OVC060, ,10.00, , , ,36, ,2.2, ,36, ,1.9, ,35, ,1.7, , 96, , 7, ,040, , , ,29.03, ,6, ,004, ,29.41, ,AA, , , ,29.40, 
14745,20100226,2208,11,SCT009 BKN021 OVC060, , 7.00, ,-RA, ,36, ,2.0, ,36, ,2.2, ,36, ,2.0, ,100, , 7, ,020, , , ,29.05, , , , , ,M, ,SP, , , ,29.41, 
14745,20100226,2225,11,SCT009 BKN012 OVC024, , 8.00, ,-RA, ,36, ,2.0, ,36, ,2.2, ,36, ,2.0, ,100, , 5, ,020, , , ,29.05, , , , , ,M, ,SP, , , ,29.41, 
14745,20100226,2251,11,OVC011, ,10.00, , , ,35, ,1.7, ,35, ,1.6, ,35, ,1.7, ,100, , 7, ,030, , , ,29.03, , , , , ,29.40, ,AA, ,  T, ,29.40, 
14745,20100226,2259,11,OVC009, ,10.00, , , ,36, ,2.0, ,36, ,2.2, ,36, ,2.0, ,100, , 5, ,040, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100226,2326,11,SCT007 BKN022 OVC027, ,10.00, , , ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 5, ,040, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100226,2351,11,FEW014 OVC020, ,10.00, , , ,34, ,1.1, ,34, ,1.1, ,34, ,1.1, ,100, , 5, ,060, , , ,29.03, , , , , ,29.40, ,AA, , , ,29.39, 
14745,20100227,0026,11,BKN012 OVC020, ,10.00, , , ,36, ,2.0, ,35, ,1.7, ,34, ,1.0, , 92, , 6, ,080, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100227,0051,11,OVC014, , 3.00, ,-SN BR, ,34, ,1.1, ,34, ,0.8, ,33, ,0.6, , 96, , 8, ,090, , , ,29.03, ,6, ,004, ,29.40, ,AA, ,0.01, ,29.39, 
14745,20100227,0100,11,OVC014, , 2.50, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 3, ,110, , , ,29.03, ,6, ,004, ,29.40, ,SP, , , ,29.39, 
14745,20100227,0108,11,OVC014, , 3.00, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 3, ,090, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100227,0127,11,OVC016, , 4.00, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 0, ,000, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100227,0151,11,BKN016 OVC021, , 3.00, ,-SN BR, ,33, ,0.6, ,33, ,0.5, ,33, ,0.6, ,100, , 0, ,000, , , ,29.03, , , , , ,29.40, ,AA, ,0.02, ,29.39, 
14745,20100227,0159,11,BKN016 BKN021 OVC025, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100227,0204,11,BKN014 BKN021 OVC025, , 1.75, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100227,0217,11,SCT007 BKN012 OVC021, , 1.75, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.01, , , , , ,M, ,SP, , , ,29.38, 
14745,20100227,0238,11,BKN009 OVC012, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.01, , , , , ,M, ,SP, , , ,29.38, 
14745,20100227,0249,11,BKN009 OVC013, , 1.50, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,020, , , ,29.01, , , , , ,M, ,SP, , , ,29.38, 
14745,20100227,0251,11,BKN009 OVC013, , 1.50, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,030, , , ,29.01, , , , , ,29.39, ,AA, ,0.03, ,29.38, 
14745,20100227,0259,11,BKN009 OVC015, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,050, , , ,29.01, , , , , ,M, ,SP, , , ,29.38, 
14745,20100227,0310,11,BKN009 OVC015, , 1.50, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,070, , , ,29.01, , , , , ,M, ,SP, , , ,29.38, 
14745,20100227,0317,11,BKN009 OVC015, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,090, , , ,29.01, , , , , ,M, ,SP, , , ,29.38, 
14745,20100227,0332,11,BKN011 OVC017, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,080, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100227,0339,11,FEW008 BKN013 OVC024, , 1.75, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,100, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100227,0347,11,FEW008 BKN015 OVC029, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.03, , , , , ,M, ,SP, , , ,29.39, 
14745,20100227,0351,11,FEW008 BKN015 OVC029, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,090, , , ,29.03, ,3, ,000, ,29.40, ,AA, ,0.03, ,29.39, 
14745,20100227,0451,11,BKN023 OVC033, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.03, , , , , ,29.41, ,AA, ,  T, ,29.40, 
14745,20100227,0500,11,BKN023 BKN030 OVC035, , 1.75, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.03, , , , , ,M, ,SP, , , ,29.40, 
14745,20100227,0512,11,BKN018 OVC023, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.03, , , , , ,M, ,SP, , , ,29.40, 
14745,20100227,0526,11,SCT015 BKN021 OVC034, , 1.75, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.05, , , , , ,M, ,SP, , , ,29.41, 
14745,20100227,0534,11,SCT012 BKN021 OVC038, , 3.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,090, , , ,29.05, , , , , ,M, ,SP, , , ,29.41, 
14745,20100227,0541,11,FEW014 SCT026 OVC038, , 6.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 6, ,110, , , ,29.05, , , , , ,M, ,SP, , , ,29.41, 
14745,20100227,0551,11,BKN040 OVC047, , 5.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,100, , , ,29.05, , , , , ,29.42, ,AA, ,0.02, ,29.41, 
14745,20100227,0651,11,OVC075, ,10.00, , , ,31, ,-0.6, ,31, ,-0.5, ,31, ,-0.6, ,100, , 0, ,000, , , ,29.06, ,3, ,014, ,29.44, ,AA, ,  T, ,29.43, 
14745,20100227,0728,11,FEW011 BKN026 OVC036, , 2.50, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.08, , , , , ,M, ,SP, , , ,29.44, 
14745,20100227,0730,11,FEW011 BKN026 OVC036, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,060, , , ,29.08, , , , , ,M, ,SP, , , ,29.44, 
14745,20100227,0735,11,FEW009 BKN026 OVC034, , 0.50, ,SN FG, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,050, , , ,29.08, , , , , ,M, ,SP, , , ,29.44, 
14745,20100227,0748,11,SCT017 OVC024, , 1.50, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.08, , , , , ,M, ,SP, , , ,29.44, 
14745,20100227,0751,11,BKN017 OVC024, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.08, , , , , ,29.45, ,AA, ,  T, ,29.44, 
14745,20100227,0757,11,SCT013 OVC020, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.08, , , , , ,M, ,SP, , , ,29.44, 
14745,20100227,0801,11,SCT011 BKN017 OVC022, , 0.75, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,030, , , ,29.08, , , , , ,M, ,SP, , , ,29.45, 
14745,20100227,0810,11,BKN011 OVC019, , 1.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,050, , , ,29.08, , , , , ,M, ,SP, , , ,29.45, 
14745,20100227,0823,11,FEW010 BKN014 OVC020, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,090, , , ,29.08, , , , , ,M, ,SP, , , ,29.45, 
14745,20100227,0829,11,FEW010 OVC016, , 1.75, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,080, , , ,29.08, , , , , ,M, ,SP, , , ,29.45, 
14745,20100227,0836,11,FEW008 OVC016, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,090, , , ,29.08, , , , , ,M, ,SP, , , ,29.45, 
14745,20100227,0841,11,FEW014 OVC018, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,090, , , ,29.08, , , , , ,M, ,SP, , , ,29.45, 
14745,20100227,0849,11,BKN013 OVC018, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.09, , , , , ,M, ,SP, , , ,29.46, 
14745,20100227,0851,11,BKN013 OVC018, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.09, , , , , ,29.47, ,AA, ,0.01, ,29.46, 
14745,20100227,0856,11,FEW009 BKN013 OVC018, , 3.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,070, , , ,29.09, , , , , ,M, ,SP, , , ,29.46, 
14745,20100227,0905,11,FEW009 BKN022 OVC036, , 2.50, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,070, , , ,29.09, , , , , ,M, ,SP, , , ,29.46, 
14745,20100227,0923,11,SCT022 BKN030 BKN041, , 3.00, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 3, ,060, , , ,29.09, , , , , ,M, ,SP, , , ,29.46, 
14745,20100227,0932,11,FEW010 BKN022 OVC041, , 3.00, ,-SN BR, ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, , 3, ,080, , , ,29.09, , , , , ,M, ,SP, , , ,29.46, 
14745,20100227,0934,11,SCT010 BKN022 OVC030, , 1.50, ,-SN BR, ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, , 3, ,070, , , ,29.09, , , , , ,M, ,SP, , , ,29.46, 
14745,20100227,0936,11,SCT010 BKN015 OVC030, , 0.75, ,-SN BR, ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, , 0, ,000, , , ,29.09, , , , , ,M, ,SP, , , ,29.46, 
14745,20100227,0946,11,FEW006 BKN012 OVC027, , 1.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.10, , , , , ,M, ,SP, , , ,29.47, 
14745,20100227,0949,11,SCT008 BKN015 OVC027, , 1.25, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 0, ,000, , , ,29.09, , , , , ,M, ,SP, , , ,29.46, 
14745,20100227,0951,11,FEW006 BKN011 OVC015, , 1.50, ,-SN BR, ,33, ,0.6, ,33, ,0.5, ,33, ,0.6, ,100, , 0, ,000, , , ,29.10, ,1, ,012, ,29.47, ,AA, ,0.01, ,29.47, 
14745,20100227,0956,11,SCT009 OVC015, , 3.00, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 0, ,000, , , ,29.10, , , , , ,M, ,SP, , , ,29.47, 
14745,20100227,1007,11,FEW006 OVC013, , 8.00, , , ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 0, ,000, , , ,29.10, , , , , ,M, ,SP, , , ,29.47, 
14745,20100227,1030,11,SCT011 BKN017 OVC038, , 2.50, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 7, ,120, , , ,29.11, , , , , ,M, ,SP, , , ,29.48, 
14745,20100227,1035,11,FEW011 SCT016 BKN030, , 4.00, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 8, ,100, , , ,29.11, , , , , ,M, ,SP, , , ,29.48, 
14745,20100227,1051,11,FEW013 BKN030 BKN036, ,10.00, , , ,34, ,1.1, ,34, ,0.8, ,33, ,0.6, , 96, , 7, ,100, , , ,29.11, , , , , ,29.49, ,AA, ,  T, ,29.48, 
14745,20100227,1058,11,FEW013 BKN028 BKN040, , 9.00, , , ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 8, ,130, , , ,29.11, , , , , ,M, ,SP, , , ,29.48, 
14745,20100227,1114,11,SCT010 BKN013 OVC027, , 3.00, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 8, ,100, , , ,29.12, , , , , ,M, ,SP, , , ,29.49, 
14745,20100227,1121,11,BKN010 BKN013 OVC032, , 2.00, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 8, ,100, , , ,29.12, , , , , ,M, ,SP, , , ,29.49, 
14745,20100227,1124,11,SCT010 BKN015 OVC080, , 4.00, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 8, ,120, , , ,29.12, , , , , ,M, ,SP, , , ,29.49, 
14745,20100227,1131,11,SCT010 BKN014 OVC028, , 9.00, , , ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, ,10, ,110, , , ,29.12, , , , , ,M, ,SP, , , ,29.49, 
14745,20100227,1148,11,SCT014 BKN027 OVC080, ,10.00, , , ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, ,11, ,150, , , ,29.13, , , , , ,M, ,SP, , , ,29.50, 
14745,20100227,1151,11,FEW014 BKN019 OVC080, ,10.00, , , ,34, ,1.1, ,33, ,0.6, ,32, ,0.0, , 92, ,11, ,150, , , ,29.13, , , , , ,29.51, ,AA, ,  T, ,29.50, 
14745,20100227,1222,11,BKN014 OVC021, ,10.00, , , ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 8, ,100, , , ,29.13, , , , , ,M, ,SP, , , ,29.50, 
14745,20100227,1231,11,BKN016 OVC021, ,10.00, , , ,36, ,2.0, ,35, ,1.7, ,34, ,1.0, , 92, , 5, ,120, , , ,29.13, , , , , ,M, ,SP, , , ,29.50, 
14745,20100227,1240,11,BKN014 OVC021, ,10.00, , , ,36, ,2.0, ,35, ,1.7, ,34, ,1.0, , 92, , 8, ,110, , , ,29.13, , , , , ,M, ,SP, , , ,29.50, 
14745,20100227,1249,11,SCT014 BKN019 OVC038, ,10.00, , , ,36, ,2.0, ,35, ,1.7, ,34, ,1.0, , 92, , 7, ,100, , , ,29.14, , , , , ,M, ,SP, , , ,29.51, 
14745,20100227,1251,11,BKN014 BKN031 BKN041, ,10.00, , , ,36, ,2.2, ,35, ,1.7, ,34, ,1.1, , 92, , 6, ,110, , , ,29.14, ,1, ,008, ,29.52, ,AA, , , ,29.51, 
14745,20100227,1305,11,FEW014 BKN032 OVC040, ,10.00, , , ,36, ,2.0, ,35, ,1.7, ,34, ,1.0, , 92, , 7, ,110, , , ,29.14, , , , , ,M, ,SP, , , ,29.51, 
14745,20100227,1315,11,FEW014 BKN028 OVC080, , 2.50, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 9, ,100, , , ,29.14, , , , , ,M, ,SP, , , ,29.51, 
14745,20100227,1324,11,SCT028 BKN035 OVC047, , 2.50, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 7, ,090, , , ,29.14, , , , , ,M, ,SP, , , ,29.51, 
14745,20100227,1331,11,FEW026 BKN035 OVC080, , 9.00, , , ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 7, ,090, , , ,29.14, , , , , ,M, ,SP, , , ,29.51, 
14745,20100227,1351,11,SCT039 BKN049 OVC070, ,10.00, , , ,35, ,1.7, ,34, ,1.2, ,33, ,0.6, , 92, , 7, ,100, , , ,29.15, , , , , ,29.53, ,AA, ,  T, ,29.52, 
14745,20100227,1432,11,SCT013 BKN023 OVC080, , 2.50, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 7, ,100, , , ,29.17, , , , , ,M, ,SP, , , ,29.54, 
14745,20100227,1436,11,SCT013 BKN017 OVC050, , 1.25, ,-SN BR, ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, ,10, ,120, , , ,29.17, , , , , ,M, ,SP, , , ,29.54, 
14745,20100227,1439,11,BKN013 BKN025 OVC050, , 0.50, ,SN FG, ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, , 9, ,130, , , ,29.17, , , , , ,M, ,SP, , , ,29.54, 
14745,20100227,1442,11,FEW003 BKN013 OVC050, , 0.25, ,+SN FG, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 7, ,170, , , ,29.17, , , , , ,M, ,SP, , , ,29.54, 
14745,20100227,1449,11,FEW003 BKN008 OVC011, , 0.25, ,+SN FG, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,150, , , ,29.17, , , , , ,M, ,SP, , , ,29.54, 
14745,20100227,1451,11,BKN006 OVC011, , 0.25, ,+SN FG, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,110, , , ,29.17, , , , , ,29.56, ,AA, ,0.05, ,29.54, 
14745,20100227,1458,11,BKN004 OVC011, , 0.25, ,SN FG, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,110, , , ,29.18, , , , , ,M, ,SP, , , ,29.55, 
14745,20100227,1501,11,SCT004 BKN011, , 0.50, ,-SN FG, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,120, , , ,29.18, , , , , ,M, ,SP, , , ,29.55, 
14745,20100227,1504,11,SCT004 BKN017 BKN027, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.18, , , , , ,M, ,SP, , , ,29.55, 
14745,20100227,1506,11,SCT004 BKN019 BKN029, , 3.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.18, , , , , ,M, ,SP, , , ,29.55, 
14745,20100227,1521,11,FEW004 BKN027 BKN048, , 1.75, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 0, ,000, , , ,29.18, , , , , ,M, ,SP, , , ,29.55, 
14745,20100227,1531,11,BKN011 BKN027, , 2.50, ,-SN BR, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 0, ,000, , , ,29.18, , , , , ,M, ,SP, , , ,29.55, 
14745,20100227,1538,11,SCT011 BKN019 OVC026, , 2.00, ,-SN BR, ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, , 7, ,VR , , , ,29.18, , , , , ,M, ,SP, , , ,29.55, 
14745,20100227,1540,11,FEW006 BKN019 OVC026, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 6, ,VR , , , ,29.19, , , , , ,M, ,SP, , , ,29.56, 
14745,20100227,1546,11,SCT004 BKN011 OVC019, , 0.25, ,+SN FG, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 8, ,130, , , ,29.19, , , , , ,M, ,SP, , , ,29.56, 
14745,20100227,1551,11,SCT004 BKN011 OVC017, , 0.25, ,SN FG, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,120, , , ,29.19, ,1, ,018, ,29.57, ,AA, ,0.01, ,29.56, 
14745,20100227,1555,11,BKN008 OVC017, , 0.50, ,-SN FG, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.19, , , , , ,M, ,SP, , , ,29.56, 
14745,20100227,1605,11,BKN008 OVC019, , 1.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.19, , , , , ,M, ,SP, , , ,29.56, 
14745,20100227,1612,11,BKN013 OVC021, , 1.25, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.19, , , , , ,M, ,SP, , , ,29.56, 
14745,20100227,1615,11,BKN015 BKN021 OVC036, , 2.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.19, , , , , ,M, ,SP, , , ,29.56, 
14745,20100227,1623,11,SCT015 BKN038 OVC047, , 3.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,080, , , ,29.20, , , , , ,M, ,SP, , , ,29.57, 
14745,20100227,1651,11,FEW019 BKN055 OVC070, , 7.00, , , ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.21, , , , , ,29.59, ,AA, ,  T, ,29.58, 
14745,20100227,1707,11,FEW008 BKN038 OVC060, , 2.50, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.21, , , , , ,M, ,SP, , , ,29.58, 
14745,20100227,1715,11,FEW008 BKN028 OVC046, , 1.75, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 0, ,000, , , ,29.21, , , , , ,M, ,SP, , , ,29.58, 
14745,20100227,1730,11,FEW008 BKN021 OVC029, , 3.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,100, , , ,29.22, , , , , ,M, ,SP, , , ,29.59, 
14745,20100227,1751,11,SCT010 BKN020 OVC075, , 4.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 3, ,090, , , ,29.23, , , , , ,29.61, ,AA, ,  T, ,29.60, 
14745,20100227,1803,11,BKN010 BKN020 OVC075, , 4.00, ,-SN BR, ,32, ,0.0, ,32, ,0.0, ,32, ,0.0, ,100, , 5, ,100, , , ,29.23, , , , , ,M, ,SP, , , ,29.60, 
